Price,Close,High,Low,Open,Volume
Ticker,GOOGL,GOOGL,GOOGL,GOOGL,GOOGL
Date,,,,,
2015-01-02,26.260459899902344,26.570398279090803,26.177642564071707,26.41170808856967,26480000
2015-01-05,25.760095596313477,26.183099839449802,25.675297631102644,26.141444300388933,41182000
2015-01-06,25.124347686767578,25.846874452934344,25.070293862462776,25.81166587947732,54456000
2015-01-07,25.050457000732422,25.36485790431801,24.976072931454695,25.33808069873763,46918000
2015-01-08,25.137741088867188,25.166998335834524,24.548112787609664,24.869953854533676,73054000
2015-01-09,24.830772399902344,25.221543673525197,24.728122346067824,25.200715907041257,42000000
2015-01-12,24.649272918701172,24.808952455825327,24.344292758819414,24.75737867048454,57138000
2015-01-13,24.88433265686035,25.221545763633,24.65919413025098,24.922516898578568,60958000
2015-01-14,25.08913803100586,25.204683901204348,24.70382433468335,24.815897018606716,52800000
2015-01-15,24.993925094604492,25.278571236159127,24.894744443607163,25.235924445335655,51068000
2015-01-16,25.313783645629883,25.33312263498767,24.94830266324565,24.951278328926936,49658000
2015-01-20,25.287994384765625,25.569171129443106,25.259728399950568,25.428334942620978,46796000
2015-01-21,25.806215286254883,25.878616849757385,25.270640832917696,25.33262851177355,46356000
2015-01-22,26.6447811126709,26.721149592800394,25.88159004863909,25.935641982816453,56068000
2015-01-23,26.8753719329834,27.046954122944516,26.567913643726374,26.680979462691624,45966000
2015-01-26,26.616018295288086,26.853059463732503,26.385424086678142,26.853059463732503,30932000
2015-01-27,25.845884323120117,26.420634231646282,25.829519108082973,26.3521995975943,39148000
2015-01-28,25.411476135253906,26.069041515183972,25.40750921148825,26.03482419659876,35822000
2015-01-29,25.451148986816406,25.548345239425768,24.96764397707178,25.434783771142534,79018000
2015-01-30,26.657180786132812,26.932406219626575,25.696619620132207,25.737283898903133,121108000
2015-02-02,26.391874313354492,26.60511207638725,25.872169456053346,26.49700441610979,75378000
2015-02-03,26.446420669555664,26.652218298064415,26.12457965499123,26.27979664583379,47062000
2015-02-04,26.089372634887695,26.617506938356748,26.03631006584765,26.438486504897366,33896000
2015-02-05,26.274341583251953,26.31698837213654,26.066557665389382,26.1801191178171,33176000
2015-02-06,26.475183486938477,26.789584406297493,26.21582765179482,26.33286040937498,42938000
2015-02-09,26.2470703125,26.475184505245064,26.16127920279256,26.33533956720351,30314000
2015-02-10,26.78660774230957,26.828263275653615,26.241612622678073,26.38939139694253,47430000
2015-02-11,26.679492950439453,26.875374215825545,26.580312299499035,26.76528405270726,38306000
