Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2015-01-02,39.76768112182617,40.32898703317074,39.58058131421902,39.68263604966488,27913900
2015-01-05,39.402000427246094,39.74218409579739,39.33396174697813,39.43601652311724,39673900
2015-01-06,38.82367706298828,39.759186024687814,38.73012551796589,39.44451530037247,36447900
2015-01-07,39.31694030761719,39.51254658843973,38.687598924842355,39.10432436181939,29114100
2015-01-08,40.473567962646484,40.60964202605233,39.733665445643595,39.75917831870044,29645200
2015-01-09,40.13338851928711,40.669181661267075,39.88675646470398,40.490585028694476,23944200
2015-01-12,39.631614685058594,40.43105279193998,39.42750517489556,40.32899479259629,23651900
2015-01-13,39.42749786376953,40.74571595702822,39.17235940124552,39.9462812426499,35270600
2015-01-14,39.087318420410156,39.32545050848688,38.7981605768087,39.087318420410156,29719600
2015-01-15,38.67909240722656,39.44451110855673,38.61956020204109,39.30843703323824,32750800
2015-01-16,39.32543182373047,39.35944789649745,38.41543293667518,38.53450054627184,35695300
2015-01-20,39.45302200317383,39.67414444629811,38.755641825804936,39.37648011813273,36161900
2015-01-21,39.05328369140625,39.24038670593523,38.679080906609194,39.07029335129624,39081100
2015-01-22,40.08235549926758,40.090858708879445,39.18936925398838,39.44450771774507,35898000
2015-01-23,40.124874114990234,40.30347069774193,39.80169702887196,40.27795782713776,26211600
2015-01-26,39.98030471801758,40.08236271730814,39.32545039934502,39.97180150687445,42525500
2015-01-27,36.28078079223633,36.740031962276895,35.813026412792716,36.527416040324205,169164000
2015-01-28,35.03060531616211,36.391349442242465,35.00509243845995,36.3488268979848,84507100
2015-01-29,35.72798156738281,35.82153310120963,34.69041797358257,34.80948238235786,63585300
2015-01-30,34.358741760253906,35.362289389740624,34.31621597120237,35.33677326745726,78004900
2015-02-02,35.107154846191406,35.18369674024467,34.21416824507854,34.52033582129161,50352500
2015-02-03,35.37929153442383,35.65994613577052,34.91153710977449,35.40480765362196,52082400
2015-02-04,35.583396911621094,35.898067533086596,35.17517477571044,35.668441973337885,41614800
2015-02-05,36.10219192504883,36.2637788923907,35.600418112052054,35.90658562428903,36548200
2015-02-06,36.06816864013672,36.39134578367657,35.84704948566956,36.29779424915752,34616600
2015-02-09,36.025638580322266,36.34881565640357,35.898067742740885,35.92358385681386,31381100
2015-02-10,36.2297477722168,36.374328270075004,35.87255462032208,36.348815400442845,29670700
2015-02-11,36.042667388916016,36.272293071992095,35.89808681323275,36.272293071992095,38262500
2015-02-12,36.646488189697266,36.646488189697266,36.15321758917554,36.280788467037965,33268800
2015-02-13,37.30986022949219,37.30986022949219,36.697528266015624,36.893134625318446,40264900
2015-02-17,37.32697296142578,37.686708152737744,36.99292894004376,37.6610137154582,33695700
2015-02-18,37.28414535522461,37.42975479346381,37.16423362217449,37.36979892693875,27111700
2015-02-19,37.25844955444336,37.284143991342845,36.87301666420335,36.98436466968369,27603400
2015-02-20,37.56680679321289,37.58393751191166,37.0785927460248,37.26702411701022,29721100
2015-02-23,37.81520080566406,37.849458978874935,37.386942600695505,37.4297677677222,32518800
2015-02-24,37.763797760009766,37.943665370088404,37.61818831326764,37.81518990603932,25271700
2015-02-25,37.67814636230469,37.763796669196715,37.51540620492015,37.64388493260797,29759800
2015-02-26,37.73809814453125,37.88370430395225,37.59248871776083,37.67814228272855,28957300
2015-02-27,37.55824279785156,37.858025497981004,37.395505858250395,37.79806961142527,33807700
2015-03-02,37.583927154541016,37.84944505282427,37.30127527493026,37.40405629144799,31924000
2015-03-03,37.07002258300781,37.541109138563314,36.90728567031151,37.30984935693158,31748600
2015-03-04,36.88159942626953,37.010074933055975,36.72742620424504,36.83877098998977,25748700
2015-03-05,36.92441940307617,37.03576744051466,36.67602888392511,36.89015796581041,23193500
2015-03-06,36.28202819824219,36.924415373799306,36.102160573250224,36.83019806527491,36248800
2015-03-09,36.701725006103516,36.941551810577614,36.13642433477633,36.13642433477633,32108000
2015-03-10,35.9993782043457,36.58180953615796,35.9993782043457,36.27346315256908,39159700
2015-03-11,35.95655822753906,36.29059910213436,35.83664645382289,36.239210209027874,32215300
2015-03-12,35.13428497314453,35.67389094129504,34.99724255062128,35.39980609624855,59992500
2015-03-13,35.4426383972168,35.51972497966072,34.78312058460761,34.860207167051534,58007700
2015-03-16,35.59680938720703,35.665328974443135,35.35698266350681,35.51972280947295,35273500
2015-03-17,35.71672821044922,35.82807623759521,35.24564492731641,35.43407628015942,31673400
2015-03-18,36.401939392089844,36.684591313344704,35.399816981859175,35.485467297018175,44194800
2015-03-19,36.22206497192383,36.47901913652743,36.16210910909464,36.19636726831884,33879100
2015-03-20,36.727413177490234,36.813063484968765,36.39337240403424,36.45332827273917,71904500
2015-03-23,36.71028518676758,36.94154495494099,36.64176232181988,36.7274159030045,26246100
2015-03-24,36.744544982910156,36.97580147343508,36.61606625052975,36.64176069006587,25513300
2015-03-25,35.51115798950195,36.77023774700006,35.494027274808474,36.76167075597844,43469900
2015-03-26,35.29703140258789,35.639639185497316,35.04864092334605,35.30559839420311,37495600
2015-03-27,35.09147262573242,35.48546932574905,34.97156087071434,35.21994810581596,34401400
2015-03-30,35.082908630371094,35.57968967771377,35.040083466684784,35.20282039563297,35049700
2015-03-31,34.82596206665039,35.14287226868868,34.723180997650374,34.9287431356504,34887200
2015-04-01,34.87733840942383,34.91159657197853,34.526166921277266,34.77455411971035,36865300
2015-04-02,34.509037017822266,34.89446994493697,34.36342757097899,34.82594708351664,37487500
2015-04-06,35.588253021240234,35.78525138596162,34.41482655861695,34.551869041351424,39223700
2015-04-07,35.57112121582031,35.89659832762814,35.38268984991087,35.63964408876951,28809400
2015-04-08,35.476905822753906,35.708165630470745,35.15143196064925,35.51116726108616,24753400
2015-04-09,35.52830123901367,35.64821301682464,35.33130285155981,35.33130285155981,25723900
2015-04-10,35.733863830566406,35.93086220263949,35.468342580893655,35.656777226942104,28022000
2015-04-13,35.76811599731445,36.025073477824904,35.45120590999501,35.45977290193208,30276700
2015-04-14,35.67391586303711,35.999389801812235,35.451219728768486,35.8023913860216,24244400
2015-04-15,36.19638442993164,36.367688376670024,35.699606578476455,35.768126196761195,27343600
2015-04-16,36.110740661621094,36.26491391500677,35.8195248793761,35.93087295512167,22509700
2015-04-17,35.64820098876953,35.750985278513554,35.254204346800165,35.69102614248798,42387600
2015-04-20,36.753108978271484,36.97580174637817,35.69959447396504,35.74241962929134,46057700
2015-04-21,36.5218505859375,36.95867568172866,36.42763328028254,36.830196943590074,26013800
2015-04-22,36.82162857055664,36.94154030176091,36.444759395515085,36.547540412640224,25064300
2015-04-23,37.12141036987305,37.352670124312624,36.658890860993885,36.73597744580708,46309500
2015-04-24,41.00142288208008,41.232682610388736,39.099959450457995,39.10852317342522,130933700
2015-04-27,41.13846969604492,41.22412327157369,40.444693704685896,40.453257428563866,59248200
2015-04-28,42.1063346862793,42.14915984120738,40.855821865219895,40.92434145963485,60730800
2015-04-29,42.02069091796875,42.23481999329346,41.54104061299524,41.72947524483312,47804600
2015-04-30,41.66093444824219,42.431800094694864,41.62667302676674,41.71232658045536,64725500
