Price,Close,High,Low,Open,Volume,Return_1d,Return_5d,Return_10d,Return_20d,Log_Return,SMA_10,SMA_20,SMA_50,SMA_200,EMA_10,EMA_20,EMA_50,SMA_10_20_Cross,SMA_20_50_Cross,Price_to_SMA20,Price_to_SMA50,Volatility_10d,Volatility_20d,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_Pct,ATR_14,RSI_14,RSI_7,MACD,MACD_Signal,MACD_Hist,Stoch_K,Stoch_D,Williams_R,ROC_10,ROC_20,Volume_SMA_20,Volume_Ratio,OBV,High_Low_Range,Body_Size,Gap,Target,Target_Return,Ticker
2015-10-16,171.25990295410156,171.27674418236762,170.12249010707063,170.88919023785743,114580100.0,0.004546090825511939,0.009635975845067257,0.04241029696606913,0.04001056718562701,0.004535788566152792,168.91684112548828,165.53494415283203,166.84940368652343,172.0949545288086,168.53731885537945,167.12612181152357,167.6200819328995,1,0,1.0345845937881484,1.0264340127691711,0.1311975921107501,0.16839860791885974,165.53494415283203,173.41379719620733,157.65609110945672,0.0951926263508575,0.8633116882465017,2.213438171944136,86.19564170792711,73.19745837799455,1.2273560274512079,0.3854635800482026,0.8418924474030053,99.87781792048563,93.65612559491713,-0.12218207878887516,4.241029696606913,4.001056718562701,131161345.0,0.8735813131528958,-1901726400.0,0.006739780038333522,0.0021646206137549947,0.0023716296498441244,1,0.0004919951007196222,SPY
2015-10-19,171.3441619873047,171.3441619873047,170.29944008789667,170.6111699635716,76523900.0,0.0004919951007196222,0.009180503132049544,0.0246890767222101,0.035172431467323184,0.0004918741108127238,169.32968139648438,165.8260353088379,166.79035217285156,172.0987272644043,169.04765397027492,167.5278399235027,167.7661242879742,1,0,1.0332766001924227,1.0273025972733354,0.10804437460003406,0.1680389320763361,165.8260353088379,174.122067547632,157.5300030700438,0.10005705344571987,0.8325762557106989,2.118953763639305,86.18908001874874,66.31438700867199,1.3933815549713984,0.5870471750328418,0.8063343799385566,99.99999999916709,99.9376817324082,-0.0,2.46890767222101,3.5172431467323184,129701230.0,0.590001343857726,-1825202500.0,0.006097213277015084,0.004277893190124556,-0.0037880027918959407,0,-0.0012785404068015316,SPY
2015-10-20,171.12509155273438,171.74013062187345,170.65328005553732,170.90603988786407,78448500.0,-0.0012785404068015316,0.014281889926145874,0.026897275788734243,0.04744458021395803,-0.0012793584369181557,169.7779052734375,166.21359558105468,166.68299896240234,172.11680862426758,169.42536989435845,167.8704353167629,167.89784849443538,1,0,1.02954930344001,1.0266499440133905,0.1052740288163744,0.15925596248984816,166.21359558105468,174.74807819283893,157.67911296927042,0.10269295459194111,0.7877442133925023,1.9733150234668833,82.21109234663643,63.16576290026754,1.4901038389605503,0.7676585078183835,0.7224453311421668,95.04078979152118,98.30620257039129,-4.9592102076725135,2.6897275788734243,4.744458021395803,125929110.0,0.6229576306860265,-1903651000.0,0.006351205170874652,0.0012800674809445062,-0.0025569712697481968,0,-0.006203736580075003,SPY
2015-10-21,170.0634765625,171.69796234296302,169.89496147578146,171.5463141919917,102038000.0,-0.006203736580075003,0.012845410685091707,0.01223607822095052,0.0426135236813725,-0.006223059712386953,169.98348083496094,166.5611358642578,166.5862631225586,172.1374705505371,169.541389288566,168.0792963877855,167.98277508533988,1,0,1.021027358393476,1.0208733503877399,0.10891419756830184,0.16159262604898858,166.5611358642578,175.12996288717954,157.99230884133607,0.10289107334024268,0.7043652351058891,1.9414194963562974,76.1570515720389,52.10724867086298,1.4642149301702432,0.9069697922887554,0.5572451378814878,86.48072887773554,93.84050622280795,-13.519271121458134,1.223607822095052,4.26135236813725,126391480.0,0.8073170754864173,-2005689000.0,0.010601928783450136,0.008719318571302726,0.0024614896356536468,1,0.016893608774297242,SPY
2015-10-22,172.93646240234375,173.14709339112684,170.0634654858229,171.01550881311363,174911700.0,0.016893608774297242,0.014380157123095039,0.02012782241496236,0.06407450873618692,0.01675249878615414,170.32469635009767,167.08181457519532,166.54279663085939,172.16215881347657,170.15867530925286,168.54188362726723,168.17703733306553,1,1,1.0350406047602119,1.038390527244813,0.12946604697427186,0.16809936071032922,167.08181457519532,175.87993640040023,158.28369274999042,0.10531513375736411,0.8327214571169044,1.8060128345828221,76.83043151831855,75.12452179731673,1.6564294426420645,1.0568617223594172,0.5995677202826473,97.27667622208848,92.93273163044842,-2.7233237766185754,2.012782241496236,6.407450873618692,127168125.0,1.375436651283488,-1830777300.0,0.0178309875341949,0.011107857548056847,0.005598099426502936,1,0.010961865129097914,SPY
2015-10-23,174.83216857910156,175.20288123414247,173.8127216336364,174.61311694471254,144442300.0,0.010961865129097914,0.020858739047384445,0.030695709198071075,0.07601757644853557,0.01090221937548282,170.84537353515626,167.69938430786132,166.54160278320313,172.18142013549806,171.00840135831623,169.1409583845848,168.43802287212577,1,1,1.0425331571769276,1.0497807494184546,0.13649914367338495,0.16979678871309423,167.69938430786132,176.86400238044035,158.5347662352823,0.10929817196889276,0.8891479281925488,1.7428268000809521,75.25135046111255,86.50047527802413,1.9393725939480646,1.2333638966771467,0.7060086972709179,95.98170334674407,93.24636948218937,-4.018296652171991,3.0695709198071075,7.601757644853557,126637500.0,1.140596584739907,-1686335000.0,0.007951394825129755,0.0012529252263430556,0.009695205505406888,0,-0.0024577141809323244,SPY
2015-10-26,174.40248107910156,174.71421086859263,174.03176843435705,174.65524086923617,69033000.0,-0.0024577141809323244,0.017848983334626034,0.027193349114083,0.10100533710557502,-0.0024607393180613446,171.30707702636718,168.49936141967774,166.51907501220703,172.20538406372071,171.62550676209537,169.6420557840626,168.67192319396796,1,1,1.0350334838641972,1.0473423604251744,0.13899828568945102,0.13327480843362888,168.49936141967774,177.01760075379033,159.98112208556515,0.10110708150277671,0.8464988143608431,1.6808415043103022,75.9728287168002,76.69272050951955,2.1046735233878167,1.4076258220192808,0.6970477013685359,90.92644226948985,94.72827394610748,-9.07355772937652,2.7193349114083,10.100533710557503,121163355.0,0.569751473124857,-1755368000.0,0.003913031684027796,0.001449290105110162,-0.0010119860166657268,0,-0.001932081681305653,SPY
2015-10-27,174.06552124023438,174.4025258095836,173.38306577506674,173.7285038149849,77905800.0,-0.001932081681305653,0.01718292543086153,0.03171022000662038,0.09823541927204427,-0.0019339505587211289,171.84207763671876,169.27785568237306,166.4701950073242,172.23430625915526,172.06914575812064,170.0633382084599,168.88343684284115,1,1,1.02828288164782,1.045625742389357,0.13263916492087507,0.1346273122387446,169.27785568237306,176.72519293437418,161.83051843037194,0.08798950367111263,0.8214347219588356,1.6122360335536874,71.77488179530131,70.32973107329802,2.183317927986394,1.5627642432127036,0.6205536847736906,85.57747224788835,90.82853928804076,-14.422527750843575,3.171022000662038,9.823541927204428,117106365.0,0.6652567518426518,-1833273800.0,0.00585676030067938,0.001936152678877481,-0.003864493555060062,1,0.011374301143154408,SPY
2015-10-28,176.04539489746094,176.07066959009023,173.73688726467444,174.40247559707362,135906700.0,0.011374301143154408,0.035174621005483964,0.048471864143083465,0.09038218486210026,0.011310100148870461,172.65595245361328,170.007479095459,166.47113830566406,172.27549438476564,172.79210014709162,170.63305789312668,169.16429794302232,1,1,1.0355155892795262,1.0575130121007357,0.1303210602600254,0.1270674696271277,170.007479095459,177.0766340160454,162.93832417487258,0.08316286975371351,0.927060650801318,1.600800671357084,72.6846445471109,76.72400632230534,2.377991437829735,1.72580968213611,0.6521817556936249,99.70120586797029,92.06837346178283,-0.2987941308475251,4.8471864143083465,9.038218486210026,115729100.0,1.1743519996267144,-1697367100.0,0.013256707605303321,0.00933236169764197,0.0019357903531866006,0,-0.0005742239244482805,SPY
2015-10-29,175.94430541992188,176.3150180725939,175.42194460346434,175.53989746059662,90525500.0,-0.0005742239244482805,0.017392763653163223,0.032023031450395756,0.08692005825092441,-0.0005743888541467262,173.20189666748047,170.7109848022461,166.4978860473633,172.32124244689942,173.3652283785153,171.13889099091668,169.43018058917522,1,1,1.0306560273419905,1.056735971830125,0.11824698195653023,0.12813556258435352,170.7109848022461,177.14393696451248,164.2780326399797,0.07536658721427221,0.9067588632457698,1.5851541158793014,71.98133277145784,77.76711046714426,2.495349683084754,1.879717682325839,0.6156320007589151,95.74052479329053,93.67306763638305,-4.259475205560472,3.2023031450395756,8.69200582509244,113701425.0,0.7961685616517119,-1787892600.0,0.005075887321263799,0.0022984998483472617,-0.0028714039191922534,0,-0.004309977741133508,SPY
